,name,birth_date,birth_place
0,Allen Saunders,"April 24, 1899",in The United States
1,Jim Henson,"September 24, 1936","in Greenville, Mississippi, The United States"
2,Jorge Luis Borges,"August 24, 1899","in Buenos Aires, Argentina"
3,Steve Martin,"August 14, 1945","in Waco, Texas, The United States"
4,Jane Austen,"December 16, 1775","in Steventon Rectory, Hampshire, The United Kingdom"
5,Alexandre Dumas-fils,"July 27, 1824","in Paris, France"
6,J.K. Rowling,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom"
7,E.E. Cummings,"October 14, 1894","in Cambridge, Massachusetts, The United States"
8,Suzanne Collins,"August 11, 1962","in Hartford, Connecticut, The United States"
9,Ayn Rand,"February 02, 1905","in St. Petersburg, Russian Federation"
10,William Nicholson,"January 12, 1948","in Lewes, Sussex, The United Kingdom"
11,Charles Bukowski,"August 16, 1920","in Andernach, Germany"
12,Harper Lee,"April 28, 1926","in Monroeville, Alabama, The United States"
13,Elie Wiesel,"September 30, 1928","in Sighet, Romania"
14,Jimi Hendrix,"November 27, 1942","in Seattle, Washington, The United States"
15,Bob Marley,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica"
16,Mark Twain,"November 30, 1835","in Florida, Missouri, The United States"
17,Albert Einstein,"March 14, 1879","in Ulm, Germany"
18,W.C. Fields,"January 29, 1880","in Darby, Pennsylvania, The United States"
19,Ernest Hemingway,"July 21, 1899","in Oak Park, Illinois, The United States"
20,Madeleine L'Engle,"November 29, 1918","in New York City, New York, The United States"
21,Ralph Waldo Emerson,"May 25, 1803","in Boston, Massachusetts, The United States"
22,J.R.R. Tolkien,"January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
23,Pablo Neruda,"July 12, 1904","in Parral, Chile"
24,George Carlin,"May 12, 1937","in New York, New York, The United States"
25,George Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
26,Khaled Hosseini,"March 04, 1965","in Kabul, Afghanistan"
27,C.S. Lewis,"November 29, 1898","in Belfast, Ireland"
28,Douglas Adams,"March 11, 1952","in Cambridge, England, The United Kingdom"
29,Martin Luther King Jr.,"January 15, 1929","in Atlanta, Georgia, The United States"
30,J.M. Barrie,"May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
31,Friedrich Nietzsche,"October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany"
32,Mother Teresa,"August 26, 1910","in Skopje, Macedonia, the Former Yugoslav Republic of"
33,Marilyn Monroe,"June 01, 1926",in The United States
34,Haruki Murakami,"January 12, 1949","in Kyoto, Japan"
35,Thomas A. Edison,"February 11, 1847","in Milan, Ohio, The United States"
36,James Baldwin,"August 02, 1924","in Harlem, New York, The United States"
37,Alfred Tennyson,"August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
38,Eleanor Roosevelt,"October 11, 1884",in The United States
39,Dr. Seuss,"March 02, 1904","in Springfield, MA, The United States"
40,Garrison Keillor,"August 07, 1942","in Anoka, Minnesota, The United States"
41,George R.R. Martin,"September 20, 1948","in Bayonne, New Jersey, The United States"
42,Stephenie Meyer,"December 24, 1973","in Connecticut, The United States"
43,J.D. Salinger,"January 01, 1919","in Manhattan, New York, The United States"
44,Helen Keller,"June 27, 1880","in Tuscumbia, Alabama, The United States"
45,Charles M. Schulz,"November 26, 1922","in Minneapolis, MN, The United States"
46,George Bernard Shaw,"July 26, 1856","in Dublin, Ireland"
47,Terry Pratchett,"April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
48,André Gide,"November 22, 1869","in Paris, France"
49,John Lennon,"October 09, 1940","in Liverpool, England, The United Kingdom"
